DataSeries,year_month,no_of_visitors
        Spain,2024Jan,3992
        Sweden,2024Jan,3658
        Switzerland,2024Jan,7463
        United Kingdom,2024Jan,59068
        Other Markets In Europe,2024Jan,28643
    Oceania,2024Jan,143332
        Australia,2024Jan,124104
        New Zealand,2024Jan,14418
        Other Markets In Oceania,2024Jan,4810
    Africa,2024Jan,6104
        Egypt,2024Jan,279
        Mauritius,2024Jan,548
        South Africa (Rep Of),2024Jan,3197
        Other Markets In Africa,2024Jan,2080
    Others,2024Jan,41
Total International Visitor Arrivals By Inbound Tourism Markets,2023Dec,1231565
    Southeast Asia,2023Dec,495668
        Brunei Darussalam,2023Dec,9281
        Indonesia,2023Dec,244322
        Malaysia,2023Dec,102683
        Myanmar,2023Dec,13146
        Philippines,2023Dec,62866
        Thailand,2023Dec,29987
        Vietnam,2023Dec,24680
        Other Markets In Southeast Asia,2023Dec,8703
    Greater China,2023Dec,176872
        China,2023Dec,130156
        Hong Kong SAR,2023Dec,26440
        Taiwan,2023Dec,17394
        Other Markets In Greater China,2023Dec,2882
    North Asia,2023Dec,71445
        Japan,2023Dec,32124
        South Korea,2023Dec,39198
        Other Markets In North Asia,2023Dec,123
    South Asia,2023Dec,114964
        Bangladesh,2023Dec,11743
        India,2023Dec,92620
        Pakistan,2023Dec,1629
        Sri Lanka,2023Dec,5975
        Other Markets In South Asia,2023Dec,2997
    West Asia,2023Dec,12730
        Iran,2023Dec,427
        Israel,2023Dec,693
        Kuwait,2023Dec,512
        Saudi Arabia,2023Dec,1568
        United Arab Emirates,2023Dec,7156
        Other Markets In West Asia,2023Dec,2374
    Americas,2023Dec,83791
        Canada,2023Dec,10998
        USA,2023Dec,65946
