DataSeries,year_month,no_of_visitors
        Other Markets In Americas,2023Dec,6847
    Europe,2023Dec,138310
        Belgium & Luxembourg,2023Dec,1912
        Denmark,2023Dec,2042
        Finland,2023Dec,1957
        France,2023Dec,10010
        Germany,2023Dec,25476
        Italy,2023Dec,4237
        Netherlands,2023Dec,6723
        Norway,2023Dec,1732
        Rep Of Ireland,2023Dec,1612
        Russian Federation,2023Dec,5523
        Spain,2023Dec,3531
        Sweden,2023Dec,2846
        Switzerland,2023Dec,6704
        United Kingdom,2023Dec,46184
        Other Markets In Europe,2023Dec,17821
    Oceania,2023Dec,128877
        Australia,2023Dec,112197
        New Zealand,2023Dec,12717
        Other Markets In Oceania,2023Dec,3963
    Africa,2023Dec,8874
        Egypt,2023Dec,188
        Mauritius,2023Dec,965
        South Africa (Rep Of),2023Dec,4221
        Other Markets In Africa,2023Dec,3500
    Others,2023Dec,34
Total International Visitor Arrivals By Inbound Tourism Markets,2023Nov,1100459
    Southeast Asia,2023Nov,418065
        Brunei Darussalam,2023Nov,4799
        Indonesia,2023Nov,184281
        Malaysia,2023Nov,93414
        Myanmar,2023Nov,11774
        Philippines,2023Nov,61213
        Thailand,2023Nov,26808
        Vietnam,2023Nov,27484
        Other Markets In Southeast Asia,2023Nov,8292
    Greater China,2023Nov,150216
        China,2023Nov,104347
        Hong Kong SAR,2023Nov,22646
        Taiwan,2023Nov,21575
        Other Markets In Greater China,2023Nov,1648
    North Asia,2023Nov,84154
        Japan,2023Nov,41412
        South Korea,2023Nov,42614
        Other Markets In North Asia,2023Nov,128
    South Asia,2023Nov,109957
        Bangladesh,2023Nov,10118
        India,2023Nov,90231
        Pakistan,2023Nov,1404
        Sri Lanka,2023Nov,5048
        Other Markets In South Asia,2023Nov,3156
    West Asia,2023Nov,10698
        Iran,2023Nov,560
        Israel,2023Nov,592
        Kuwait,2023Nov,269
        Saudi Arabia,2023Nov,2652
        United Arab Emirates,2023Nov,5120
        Other Markets In West Asia,2023Nov,1505
    Americas,2023Nov,80020
        Canada,2023Nov,13173
        USA,2023Nov,58805
        Other Markets In Americas,2023Nov,8042
    Europe,2023Nov,141356
        Belgium & Luxembourg,2023Nov,2469
        Denmark,2023Nov,2276
        Finland,2023Nov,2236
        France,2023Nov,12002
        Germany,2023Nov,26528
        Italy,2023Nov,4119
        Netherlands,2023Nov,7110
        Norway,2023Nov,1954
        Rep Of Ireland,2023Nov,2042
        Russian Federation,2023Nov,4695
        Spain,2023Nov,4098
        Sweden,2023Nov,2589
        Switzerland,2023Nov,6817
        United Kingdom,2023Nov,43195
        Other Markets In Europe,2023Nov,19226
    Oceania,2023Nov,100963
        Australia,2023Nov,88201
        New Zealand,2023Nov,9663
        Other Markets In Oceania,2023Nov,3099
    Africa,2023Nov,4995
        Egypt,2023Nov,269
        Mauritius,2023Nov,769
        South Africa (Rep Of),2023Nov,1789
        Other Markets In Africa,2023Nov,2168
    Others,2023Nov,35
Total International Visitor Arrivals By Inbound Tourism Markets,2023Oct,1125964
    Southeast Asia,2023Oct,434927
        Brunei Darussalam,2023Oct,4390
        Indonesia,2023Oct,180884
        Malaysia,2023Oct,88643
        Myanmar,2023Oct,11360
        Philippines,2023Oct,54649
        Thailand,2023Oct,53442
        Vietnam,2023Oct,32730
        Other Markets In Southeast Asia,2023Oct,8829
    Greater China,2023Oct,177880
        China,2023Oct,122765
        Hong Kong SAR,2023Oct,25108
        Taiwan,2023Oct,28466
        Other Markets In Greater China,2023Oct,1541
    North Asia,2023Oct,83818
        Japan,2023Oct,38073
        South Korea,2023Oct,45621
        Other Markets In North Asia,2023Oct,124
    South Asia,2023Oct,114672
        Bangladesh,2023Oct,10721
        India,2023Oct,94334
        Pakistan,2023Oct,1484
        Sri Lanka,2023Oct,4487
        Other Markets In South Asia,2023Oct,3646
    West Asia,2023Oct,11379
        Iran,2023Oct,521
        Israel,2023Oct,1029
        Kuwait,2023Oct,473
        Saudi Arabia,2023Oct,1764
        United Arab Emirates,2023Oct,5534
        Other Markets In West Asia,2023Oct,2058
    Americas,2023Oct,60726
        Canada,2023Oct,9006
        USA,2023Oct,44140
        Other Markets In Americas,2023Oct,7580
    Europe,2023Oct,132680
        Belgium & Luxembourg,2023Oct,2371
        Denmark,2023Oct,2636
        Finland,2023Oct,2059
        France,2023Oct,13088
        Germany,2023Oct,24581
        Italy,2023Oct,4058
        Netherlands,2023Oct,7363
        Norway,2023Oct,1776
        Rep Of Ireland,2023Oct,1776
        Russian Federation,2023Oct,3952
        Spain,2023Oct,4717
        Sweden,2023Oct,2273
        Switzerland,2023Oct,7121
        United Kingdom,2023Oct,36194
        Other Markets In Europe,2023Oct,18715
    Oceania,2023Oct,104603
        Australia,2023Oct,88033
        New Zealand,2023Oct,13059
        Other Markets In Oceania,2023Oct,3511
    Africa,2023Oct,5233
        Egypt,2023Oct,265
        Mauritius,2023Oct,349
        South Africa (Rep Of),2023Oct,1833
        Other Markets In Africa,2023Oct,2786
    Others,2023Oct,46
Total International Visitor Arrivals By Inbound Tourism Markets,2023Sep,1130762
    Southeast Asia,2023Sep,404106
        Brunei Darussalam,2023Sep,4502
        Indonesia,2023Sep,175603
        Malaysia,2023Sep,89384
        Myanmar,2023Sep,10631
        Philippines,2023Sep,50679
        Thailand,2023Sep,32307
        Vietnam,2023Sep,34736
        Other Markets In Southeast Asia,2023Sep,6264
    Greater China,2023Sep,188758
        China,2023Sep,135677
        Hong Kong SAR,2023Sep,25848
        Taiwan,2023Sep,25818
        Other Markets In Greater China,2023Sep,1415
    North Asia,2023Sep,94298
        Japan,2023Sep,45989
        South Korea,2023Sep,48187
        Other Markets In North Asia,2023Sep,122
    South Asia,2023Sep,100567
        Bangladesh,2023Sep,10240
        India,2023Sep,81016
        Pakistan,2023Sep,1360
        Sri Lanka,2023Sep,5156
        Other Markets In South Asia,2023Sep,2795
    West Asia,2023Sep,13928
        Iran,2023Sep,1009
        Israel,2023Sep,1805
        Kuwait,2023Sep,521
        Saudi Arabia,2023Sep,1844
        United Arab Emirates,2023Sep,6769
        Other Markets In West Asia,2023Sep,1980
    Americas,2023Sep,62765
        Canada,2023Sep,8407
        USA,2023Sep,46605
        Other Markets In Americas,2023Sep,7753
    Europe,2023Sep,137745
        Belgium & Luxembourg,2023Sep,2850
        Denmark,2023Sep,2158
        Finland,2023Sep,1275
        France,2023Sep,13476
        Germany,2023Sep,25075
        Italy,2023Sep,6547
        Netherlands,2023Sep,8584
        Norway,2023Sep,2013
        Rep Of Ireland,2023Sep,2062
        Russian Federation,2023Sep,3333
        Spain,2023Sep,6203
        Sweden,2023Sep,1484
        Switzerland,2023Sep,6079
        United Kingdom,2023Sep,38715
        Other Markets In Europe,2023Sep,17891
    Oceania,2023Sep,122983
        Australia,2023Sep,104497
        New Zealand,2023Sep,15022
        Other Markets In Oceania,2023Sep,3464
    Africa,2023Sep,5582
        Egypt,2023Sep,272
        Mauritius,2023Sep,412
        South Africa (Rep Of),2023Sep,2323
        Other Markets In Africa,2023Sep,2575
    Others,2023Sep,30
Total International Visitor Arrivals By Inbound Tourism Markets,2023Aug,1312693
    Southeast Asia,2023Aug,429652
        Brunei Darussalam,2023Aug,6214
        Indonesia,2023Aug,168122
        Malaysia,2023Aug,88044
        Myanmar,2023Aug,10159
        Philippines,2023Aug,61802
        Thailand,2023Aug,34938
        Vietnam,2023Aug,51381
        Other Markets In Southeast Asia,2023Aug,8992
    Greater China,2023Aug,289817
        China,2023Aug,215442
        Hong Kong SAR,2023Aug,32627
        Taiwan,2023Aug,38432
        Other Markets In Greater China,2023Aug,3316
    North Asia,2023Aug,130666
        Japan,2023Aug,68304
        South Korea,2023Aug,62177
        Other Markets In North Asia,2023Aug,185
    South Asia,2023Aug,104652
        Bangladesh,2023Aug,11124
        India,2023Aug,83601
        Pakistan,2023Aug,1497
        Sri Lanka,2023Aug,5567
        Other Markets In South Asia,2023Aug,2863
    West Asia,2023Aug,19790
        Iran,2023Aug,406
        Israel,2023Aug,1669
        Kuwait,2023Aug,2157
        Saudi Arabia,2023Aug,3123
        United Arab Emirates,2023Aug,8749
        Other Markets In West Asia,2023Aug,3686
    Americas,2023Aug,62996
        Canada,2023Aug,9877
        USA,2023Aug,48489
        Other Markets In Americas,2023Aug,4630
    Europe,2023Aug,173132
        Belgium & Luxembourg,2023Aug,3466
        Denmark,2023Aug,1703
        Finland,2023Aug,838
        France,2023Aug,24471
        Germany,2023Aug,24633
        Italy,2023Aug,20896
        Netherlands,2023Aug,11327
        Norway,2023Aug,1378
        Rep Of Ireland,2023Aug,1984
        Russian Federation,2023Aug,3493
        Spain,2023Aug,10525
        Sweden,2023Aug,1396
        Switzerland,2023Aug,6359
        United Kingdom,2023Aug,41765
        Other Markets In Europe,2023Aug,18898
    Oceania,2023Aug,95791
        Australia,2023Aug,80605
        New Zealand,2023Aug,12499
        Other Markets In Oceania,2023Aug,2687
    Africa,2023Aug,6132
        Egypt,2023Aug,243
        Mauritius,2023Aug,377
        South Africa (Rep Of),2023Aug,1718
        Other Markets In Africa,2023Aug,3794
    Others,2023Aug,65
Total International Visitor Arrivals By Inbound Tourism Markets,2023Jul,1419642
    Southeast Asia,2023Jul,519036
        Brunei Darussalam,2023Jul,5108
        Indonesia,2023Jul,229886
        Malaysia,2023Jul,84876
        Myanmar,2023Jul,10811
        Philippines,2023Jul,77160
        Thailand,2023Jul,41367
        Vietnam,2023Jul,60188
        Other Markets In Southeast Asia,2023Jul,9640
    Greater China,2023Jul,309869
        China,2023Jul,231331
        Hong Kong SAR,2023Jul,32175
        Taiwan,2023Jul,43097
        Other Markets In Greater China,2023Jul,3266
    North Asia,2023Jul,103861
        Japan,2023Jul,42730
        South Korea,2023Jul,60960
        Other Markets In North Asia,2023Jul,171
    South Asia,2023Jul,114733
        Bangladesh,2023Jul,11100
        India,2023Jul,93056
        Pakistan,2023Jul,2654
        Sri Lanka,2023Jul,4509
        Other Markets In South Asia,2023Jul,3414
    West Asia,2023Jul,22773
        Iran,2023Jul,298
        Israel,2023Jul,1596
        Kuwait,2023Jul,1511
        Saudi Arabia,2023Jul,5249
        United Arab Emirates,2023Jul,9793
        Other Markets In West Asia,2023Jul,4326
    Americas,2023Jul,81637
        Canada,2023Jul,9770
        USA,2023Jul,64786
        Other Markets In Americas,2023Jul,7081
    Europe,2023Jul,144826
        Belgium & Luxembourg,2023Jul,3995
        Denmark,2023Jul,2881
        Finland,2023Jul,1062
        France,2023Jul,18158
        Germany,2023Jul,21074
        Italy,2023Jul,6965
        Netherlands,2023Jul,10867
        Norway,2023Jul,3585
        Rep Of Ireland,2023Jul,2344
        Russian Federation,2023Jul,3627
        Spain,2023Jul,5983
        Sweden,2023Jul,1930
        Switzerland,2023Jul,8501
        United Kingdom,2023Jul,36886
        Other Markets In Europe,2023Jul,16968
    Oceania,2023Jul,116877
        Australia,2023Jul,98408
        New Zealand,2023Jul,15350
        Other Markets In Oceania,2023Jul,3119
    Africa,2023Jul,5926
        Egypt,2023Jul,348
        Mauritius,2023Jul,413
        South Africa (Rep Of),2023Jul,2166
        Other Markets In Africa,2023Jul,2999
    Others,2023Jul,104
Total International Visitor Arrivals By Inbound Tourism Markets,2023Jun,1129310
    Southeast Asia,2023Jun,475814
        Brunei Darussalam,2023Jun,4121
        Indonesia,2023Jun,217052
        Malaysia,2023Jun,85945
        Myanmar,2023Jun,9877
        Philippines,2023Jun,71409
        Thailand,2023Jun,31029
        Vietnam,2023Jun,48924
        Other Markets In Southeast Asia,2023Jun,7457
    Greater China,2023Jun,167228
        China,2023Jun,113290
        Hong Kong SAR,2023Jun,23179
        Taiwan,2023Jun,28980
        Other Markets In Greater China,2023Jun,1779
    North Asia,2023Jun,65648
        Japan,2023Jun,25370
        South Korea,2023Jun,40187
        Other Markets In North Asia,2023Jun,91
    South Asia,2023Jun,133366
        Bangladesh,2023Jun,9685
        India,2023Jun,114588
        Pakistan,2023Jun,1724
        Sri Lanka,2023Jun,4368
        Other Markets In South Asia,2023Jun,3001
    West Asia,2023Jun,15806
        Iran,2023Jun,322
        Israel,2023Jun,1012
        Kuwait,2023Jun,967
        Saudi Arabia,2023Jun,2965
        United Arab Emirates,2023Jun,7525
        Other Markets In West Asia,2023Jun,3015
    Americas,2023Jun,70361
        Canada,2023Jun,6664
        USA,2023Jun,59074
        Other Markets In Americas,2023Jun,4623
    Europe,2023Jun,88537
        Belgium & Luxembourg,2023Jun,1646
        Denmark,2023Jun,1499
        Finland,2023Jun,1221
        France,2023Jun,9709
        Germany,2023Jun,15026
        Italy,2023Jun,3426
        Netherlands,2023Jun,5041
        Norway,2023Jun,1831
        Rep Of Ireland,2023Jun,1626
        Russian Federation,2023Jun,2796
        Spain,2023Jun,3562
        Sweden,2023Jun,1538
        Switzerland,2023Jun,3991
        United Kingdom,2023Jun,24244
        Other Markets In Europe,2023Jun,11381
    Oceania,2023Jun,107915
        Australia,2023Jun,90770
        New Zealand,2023Jun,13352
        Other Markets In Oceania,2023Jun,3793
    Africa,2023Jun,4575
        Egypt,2023Jun,211
        Mauritius,2023Jun,349
        South Africa (Rep Of),2023Jun,1946
        Other Markets In Africa,2023Jun,2069
    Others,2023Jun,60
Total International Visitor Arrivals By Inbound Tourism Markets,2023May,1112512
    Southeast Asia,2023May,456263
        Brunei Darussalam,2023May,4570
        Indonesia,2023May,183758
        Malaysia,2023May,98347
        Myanmar,2023May,10104
        Philippines,2023May,59346
        Thailand,2023May,40375
        Vietnam,2023May,50765
        Other Markets In Southeast Asia,2023May,8998
    Greater China,2023May,148053
        China,2023May,95613
        Hong Kong SAR,2023May,26356
        Taiwan,2023May,24313
        Other Markets In Greater China,2023May,1771
    North Asia,2023May,68419
        Japan,2023May,29130
        South Korea,2023May,39203
        Other Markets In North Asia,2023May,86
    South Asia,2023May,147713
        Bangladesh,2023May,9529
        India,2023May,130444
        Pakistan,2023May,1222
        Sri Lanka,2023May,4276
        Other Markets In South Asia,2023May,2242
    West Asia,2023May,9408
        Iran,2023May,190
        Israel,2023May,1184
        Kuwait,2023May,305
        Saudi Arabia,2023May,836
        United Arab Emirates,2023May,5240
        Other Markets In West Asia,2023May,1653
    Americas,2023May,70426
        Canada,2023May,12592
        USA,2023May,50898
        Other Markets In Americas,2023May,6936
    Europe,2023May,113597
        Belgium & Luxembourg,2023May,2066
        Denmark,2023May,1727
        Finland,2023May,1122
        France,2023May,13557
        Germany,2023May,22534
        Italy,2023May,4092
        Netherlands,2023May,6631
        Norway,2023May,1210
        Rep Of Ireland,2023May,1777
        Russian Federation,2023May,3966
        Spain,2023May,3689
        Sweden,2023May,1585
        Switzerland,2023May,5383
        United Kingdom,2023May,30608
        Other Markets In Europe,2023May,13650
    Oceania,2023May,94073
        Australia,2023May,79700
        New Zealand,2023May,11146
        Other Markets In Oceania,2023May,3227
    Africa,2023May,4515
        Egypt,2023May,253
        Mauritius,2023May,363
        South Africa (Rep Of),2023May,1823
        Other Markets In Africa,2023May,2076
    Others,2023May,45
Total International Visitor Arrivals By Inbound Tourism Markets,2023Apr,1128610
    Southeast Asia,2023Apr,489334
        Brunei Darussalam,2023Apr,5850
        Indonesia,2023Apr,220067
        Malaysia,2023Apr,98190
        Myanmar,2023Apr,11787
        Philippines,2023Apr,57030
        Thailand,2023Apr,49727
        Vietnam,2023Apr,36630
