Region/Country,year_month,no_of_visitors
North Asia,2024-03-01,97048
Japan,2024-03-01,54884
South Korea,2024-03-01,42064
Other Markets In North Asia,2024-03-01,100
South Asia,2024-03-01,113228
Bangladesh,2024-03-01,8616
India,2024-03-01,97027
Pakistan,2024-03-01,824
Sri Lanka,2024-03-01,4449
Other Markets In South Asia,2024-03-01,2312
West Asia,2024-03-01,13591
Iran,2024-03-01,2207
Israel,2024-03-01,1284
Kuwait,2024-03-01,176
Saudi Arabia,2024-03-01,812
United Arab Emirates,2024-03-01,7311
Other Markets In West Asia,2024-03-01,1801
Americas,2024-03-01,85431
Canada,2024-03-01,12439
USA,2024-03-01,64440
Other Markets In Americas,2024-03-01,8552
Europe,2024-03-01,198083
Belgium & Luxembourg,2024-03-01,2741
Denmark,2024-03-01,2972
Finland,2024-03-01,2973
France,2024-03-01,14035
Germany,2024-03-01,39351
Italy,2024-03-01,4868
Netherlands,2024-03-01,6914
Norway,2024-03-01,2417
Rep Of Ireland,2024-03-01,2619
Russian Federation,2024-03-01,5608
Spain,2024-03-01,4731
Sweden,2024-03-01,2911
Switzerland,2024-03-01,7743
United Kingdom,2024-03-01,73518
Other Markets In Europe,2024-03-01,24682
Oceania,2024-03-01,102173
Australia,2024-03-01,90438
New Zealand,2024-03-01,9008
Other Markets In Oceania,2024-03-01,2727
Africa,2024-03-01,5176
Egypt,2024-03-01,175
Mauritius,2024-03-01,346
South Africa (Rep Of),2024-03-01,2742
Other Markets In Africa,2024-03-01,1913
Others,2024-03-01,66
Total International Visitor Arrivals By Inbound Tourism Markets,2024-02-01,1417807
Southeast Asia,2024-02-01,430395
Brunei Darussalam,2024-02-01,4582
Indonesia,2024-02-01,190713
Malaysia,2024-02-01,100051
Myanmar,2024-02-01,10682
Philippines,2024-02-01,55604
Thailand,2024-02-01,31089
Vietnam,2024-02-01,31776
Other Markets In Southeast Asia,2024-02-01,5898
Greater China,2024-02-01,401348
China,2024-02-01,326900
Hong Kong SAR,2024-02-01,26507
Taiwan,2024-02-01,45705
Other Markets In Greater China,2024-02-01,2236
North Asia,2024-02-01,114583
Japan,2024-02-01,45284
South Korea,2024-02-01,69112
Other Markets In North Asia,2024-02-01,187
South Asia,2024-02-01,83642
Bangladesh,2024-02-01,8792
India,2024-02-01,66149
Pakistan,2024-02-01,1626
