date,actual_date,forecast_day,temp_low,temp_high,humidity_low,humidity_high,forecast_summary,forecast_text,wind_speed_low,wind_speed_high,wind_direction,north_avg_daily_psi,south_avg_daily_psi,east_avg_daily_psi,west_avg_daily_psi,central_avg_daily_psi,average_nationwide_psi,highest_region_reading,psi_level_rating,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),avg_daily_relative_humidity,windspeed
17/12/2018,Monday,Tuesday,24,34,60,95,Afternoon showers.,Showers,5,15,E,37.58,39.42,36.67,23.33,41,35.6,central_avg_daily_psi,Good,0,0,0,0,27.3,31.5,25.2,5,43.2,78.5,1.15
18/12/2018,Tuesday,Wednesday,24,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NNE,49.92,51.67,42.08,47.92,47.75,47.87,south_avg_daily_psi,Good,0,0,0,0,28.7,32.4,26.5,5.8,25.6,73.9,2.38
19/12/2018,Wednesday,Thursday,24,34,55,95,Late afternoon and evening thundery showers,Thundery Showers,15,20,NNW,43.42,49.83,43.92,37.33,49.08,44.72,south_avg_daily_psi,Good,0,0,0,0,29,33.2,26.6,4,20.9,72.84,2.39
20/12/2018,Thursday,Friday,24,33,55,95,Late afternoon and evening thundery showers,Thundery Showers,15,25,NNW,51.67,56.33,54.75,48.33,52.83,52.78,south_avg_daily_psi,Moderate,0,0,0,0,28.7,33.1,26.4,5,26.6,73.2,2.41
21/12/2018,Friday,Saturday,24,34,55,95,Late afternoon thundery showers ,Thundery Showers,15,25,N,48.08,44.33,51.75,30,38.17,42.47,east_avg_daily_psi,Good,0.2,0.2,0.2,0.2,28.7,33.5,26.5,5.4,29.5,73.19,2.32
22/12/2018,Saturday,Sunday,24,34,55,95,Afternoon thundery showers.,Thundery Showers,10,20,NW,54.58,49,51.5,35,44,46.82,north_avg_daily_psi,Good,4.2,4,4.2,4.2,28.2,33,25.9,4.7,25.6,75.69,1.96
23/12/2018,Sunday,Monday,24,33,55,95,Late afternoon thundery showers.,Thundery Showers,10,25,WNW,63.08,60.25,60.5,55,57,59.17,north_avg_daily_psi,Moderate,0,0,0,0,28.1,31.4,25.6,4,19.4,74.38,1.49
24/12/2018,Monday,Tuesday,24,32,60,90,Morning thundery showers.,Thundery Showers,15,30,W,65.83,67.92,63.75,59.08,61.25,63.57,south_avg_daily_psi,Moderate,0,0,0,0,29,32.1,26.5,4.7,22,70.4,1.78
25/12/2018,Tuesday,Wednesday,24,33,60,95,Predawn and early morning thundery showers.,Thundery Showers,15,30,WNW,60.67,65.42,63.58,55.58,60.33,61.12,south_avg_daily_psi,Moderate,0,0,0,0,29.3,32.4,26.6,6.5,31.7,72.02,2.42
26/12/2018,Wednesday,Thursday,24,32,60,95,Occasionally windy. Pre-dawn hours and early morning thundery showers.,Thundery Showers,15,30,W,56.17,57.17,56.75,50.17,53.92,54.83,south_avg_daily_psi,Moderate,2.2,2,2.2,2.2,28.9,33.1,23.7,9.4,45,70.3,3.74
